,Restaurant Name,Negative Sentiment,Positive Sentiment,Address
85,AFC Restaurant,11,9,"Dhaka, Bangladesh"
86,AFF & Pastry shop,7,13,"Dhaka, Bangladesh"
87,AG AGRO Food Ltd,19,1,"Dhaka, Bangladesh"
88,AG Food - Dinajpur,14,6,"Dhaka, Bangladesh"
89,AG Food- Lalmatia,12,8,"Dhaka, Bangladesh"
90,AG Foods - Badda,16,4,"Dhaka, Bangladesh"
91,AG Foodâ€™s Restaurant,8,12,"Dhaka, Bangladesh"
92,AH Momo's World,4,16,"Dhaka, Bangladesh"
93,AJFC Food Corner,18,2,"Dhaka, Bangladesh"
94,AK Hazi Biryani - Bridge More,7,13,"Dhaka, Bangladesh"
95,AK Home Kitchen,11,9,"Dhaka, Bangladesh"
96,AL BARAKA HOTEL AND RESTAURANT BRANCH-2,9,11,"Dhaka, Bangladesh"
97,AL-Falaq Sweets & Bakery,4,16,"Dhaka, Bangladesh"
98,AL-Mahmud Chicken Adda & Shahi Burger,20,0,"Dhaka, Bangladesh"
99,AMY'S PIZZA,4,16,"Dhaka, Bangladesh"
100,AN BD Kitchen,7,13,"Dhaka, Bangladesh"
101,AR Food Express,16,4,"Dhaka, Bangladesh"
102,ARB Foods,8,12,"Dhaka, Bangladesh"
103,AS Food Star,6,14,"Dhaka, Bangladesh"
104,ASPARAGUS,9,11,"Dhaka, Bangladesh"
105,AUSBD Kitchen - Gulshan,10,10,"Dhaka, Bangladesh"
106,AVA FOODZ,1,19,"Dhaka, Bangladesh"
107,AVALON,2,18,"Dhaka, Bangladesh"
108,AZ Home Food,3,17,"Dhaka, Bangladesh"
109,Aaate Achar,19,1,"Dhaka, Bangladesh"
110,Aadhya's Kitchen,12,8,"Dhaka, Bangladesh"
111,Aaheli Kabab & Restaurant,5,15,"Dhaka, Bangladesh"
112,Aaira's Cuisine,19,1,"Dhaka, Bangladesh"
113,Aajee Multi Cuisine,13,7,"Dhaka, Bangladesh"
114,Aamal - Katasur,16,4,"Dhaka, Bangladesh"
115,Aamantran - Bashundhara City,13,7,"Dhaka, Bangladesh"
116,Aamej - Mirpur,11,9,"Dhaka, Bangladesh"
117,Aanabia's Kitchen,12,8,"Dhaka, Bangladesh"
118,Aashiqi  Restaurant And Biryani House,1,19,"Dhaka, Bangladesh"
119,Aasim Fuchka Chotpoti & Fast Food,17,3,"Dhaka, Bangladesh"
120,Aayra's Kitchen,10,10,"Dhaka, Bangladesh"
121,Aaysha Snack Bar and Juice Corner,8,12,"Dhaka, Bangladesh"
122,Ab Akhi Cooking House,17,3,"Dhaka, Bangladesh"
123,Abacus Restaurant - Gulshan 1,7,13,"Dhaka, Bangladesh"
124,Abar Khabo,16,4,"Dhaka, Bangladesh"
125,Abar Khabo Fuchka House,17,3,"Dhaka, Bangladesh"
126,Abar Khabo Home Kitchen,15,5,"Dhaka, Bangladesh"
127,Abar Khabo Hotel & Kabab House,13,7,"Dhaka, Bangladesh"
128,Abdul Ahad Vaier Shingara,16,4,"Dhaka, Bangladesh"
129,Abdul Karim Hotel,6,14,"Dhaka, Bangladesh"
130,Abdul Latif Hotel,11,9,"Dhaka, Bangladesh"
131,Abdullah Chotpoti O Fuchka House,12,8,"Dhaka, Bangladesh"
132,Abdullah Hotel & Restora,19,1,"Dhaka, Bangladesh"
133,Abdullah Sahi Chotpoti And Fuchka House,17,3,"Dhaka, Bangladesh"
134,Abdullah's,10,10,"Dhaka, Bangladesh"
135,Abdullah's Dine,2,18,"Dhaka, Bangladesh"
136,Abdullahâ€™s Kitchen,2,18,"Dhaka, Bangladesh"
137,Abesh Fish BBQ And Restaurant,15,5,"Dhaka, Bangladesh"
138,Abesh Hotel & Biryani House Delivery - Mirpur 2 (pandago),8,12,"House No-2, Road-2,Block- E, Section- 2, Mirpur, 1216 Dhaka"
253,Abhi's Kitchen & Catering,10,10,"Dhaka, Bangladesh"
254,Abid's Catering,10,10,"Dhaka, Bangladesh"
255,Abida's Food Court,2,18,"Dhaka, Bangladesh"
256,Abida's Kitchen,6,14,"Dhaka, Bangladesh"
257,Abida's Tasty food,11,9,"Dhaka, Bangladesh"
258,Abir Juice Baar and Fast Food,20,0,"Dhaka, Bangladesh"
259,Abir Kitchen,11,9,"Dhaka, Bangladesh"
260,Abir's Home Kitchen,17,3,"Dhaka, Bangladesh"
261,Abir's Kitchen,6,14,"Dhaka, Bangladesh"
262,Abisha's Kitchen,7,13,"Dhaka, Bangladesh"
263,Abloom Cafeteria,10,10,"Dhaka, Bangladesh"
264,Abrar Restaurant,17,3,"Dhaka, Bangladesh"
265,Abs Kitchen House,9,11,"Dhaka, Bangladesh"
266,Absolute BBQ BD,7,13,"Dhaka, Bangladesh"
267,Absolute Korean - Dhanmondi,20,0,"Dhaka, Bangladesh"
268,Absolute Thai,15,5,"Dhaka, Bangladesh"
269,Abul Hotel,14,6,"Dhaka, Bangladesh"
270,"Abul Hotel Thai, Chinese & Continental Food",7,13,"Dhaka, Bangladesh"
271,Ac Market Bondhu Fuchka,15,5,"Dhaka, Bangladesh"
272,Achar,18,2,"Dhaka, Bangladesh"
273,Achar Ghor,16,4,"Dhaka, Bangladesh"
274,Acharbari,12,8,"Dhaka, Bangladesh"
275,ActionAid Bangladesh,8,12,"Dhaka, Bangladesh"
276,Active Burger,17,3,"Dhaka, Bangladesh"
277,Adda,18,2,"Dhaka, Bangladesh"
278,Adda Bari,12,8,"Dhaka, Bangladesh"
279,Adda Dot,2,18,"Dhaka, Bangladesh"
280,Adda E Godhuli,20,0,"Dhaka, Bangladesh"
281,Adda Fuchka & Chotpoti House,8,12,"Dhaka, Bangladesh"
282,Adda Ghar,1,19,"Dhaka, Bangladesh"
283,Adda Ghor,6,14,"Dhaka, Bangladesh"
284,Adda Ghor Restaurant - Barisal,16,4,"Dhaka, Bangladesh"
285,Adda Kacchi and Kebab In,16,4,"Dhaka, Bangladesh"
286,Adda Khana - Chawkbazar,9,11,"Dhaka, Bangladesh"
287,Adda Khana Restaurant,6,14,"Dhaka, Bangladesh"
288,Adda Point Restaurant,7,13,"Dhaka, Bangladesh"
289,Adda Prabartana,1,19,"Dhaka, Bangladesh"
290,Adda Restaurant & Cafe,18,2,"Dhaka, Bangladesh"
291,Addabaji,18,2,"Dhaka, Bangladesh"
292,Addabazz Seafood & Kabab Ghor,6,14,"Dhaka, Bangladesh"
293,Addabuzz Cafe,13,7,"Dhaka, Bangladesh"
294,Addakhana - Jessore,20,0,"Dhaka, Bangladesh"
295,Adday Coffee,19,1,"Dhaka, Bangladesh"
296,Addra's Kitchen,17,3,"Dhaka, Bangladesh"
297,Address,10,10,"Dhaka, Bangladesh"
298,Adelyn,9,11,"Dhaka, Bangladesh"
299,Adhry Kebab House - 2,16,4,"Dhaka, Bangladesh"
300,Adi  Fokir  Mistanno  Vandar,6,14,"Dhaka, Bangladesh"
301,Adi Ashta Banjan,3,17,"Dhaka, Bangladesh"
302,Adi Islamia Restaurant,9,11,"Dhaka, Bangladesh"
303,Adi Korai Gosto,2,18,"Dhaka, Bangladesh"
304,Adi Mohanlal - Mirza Jangal,1,19,"Dhaka, Bangladesh"
305,Adi Nanna Biriyani - Moghbazar,19,1,"Dhaka, Bangladesh"
306,Adi Nanna Biriyani House,18,2,"Dhaka, Bangladesh"
307,Adi Nanna Biryani - Paltan,16,4,"Dhaka, Bangladesh"
308,Adi Nanna Biryani House,19,1,"Dhaka, Bangladesh"
309,Adi Nanna Sweets,17,3,"Dhaka, Bangladesh"
310,Adi Rohmania Hotel & Restaurant,19,1,"Dhaka, Bangladesh"
311,Adi Sagor Sweets - Post Office More,7,13,"Dhaka, Bangladesh"
312,Adi Savar Bakery & Fast Food,16,4,"Dhaka, Bangladesh"
313,Adi Shatkhira Ghosh Dairy,12,8,"Dhaka, Bangladesh"
314,Adi Tamij Uddin Sweets & Bakers,6,14,"Dhaka, Bangladesh"
315,Adil's Food Valley,11,9,"Dhaka, Bangladesh"
316,Adilah's Kitchen,5,15,"Dhaka, Bangladesh"
317,Aditya Kitchen,14,6,"Dhaka, Bangladesh"
318,Adnan's Delight,16,4,"Dhaka, Bangladesh"
319,Adnin Plus & Swadesh Sweet,5,15,"Dhaka, Bangladesh"
320,Adrita Kitchen,15,5,"Dhaka, Bangladesh"
321,Adrita's Home Kitchen,18,2,"Dhaka, Bangladesh"
322,Adrok Canteen,3,17,"Dhaka, Bangladesh"
323,Adrok Pizza,3,17,"Dhaka, Bangladesh"
324,Adrok Pizza - Chawkbazar,7,13,"Dhaka, Bangladesh"
325,Adrok Pizza 2,10,10,"Dhaka, Bangladesh"
326,Adventure Land Restaurant,1,19,"Dhaka, Bangladesh"
327,Aero Cafe,11,9,"Dhaka, Bangladesh"
328,Afan Mom's Kitchen,7,13,"Dhaka, Bangladesh"
329,Afghan B.B.Q,16,4,"Dhaka, Bangladesh"
330,Afghan Grill Bd,16,4,"Dhaka, Bangladesh"
331,Afghan Restaurant,3,17,"Dhaka, Bangladesh"
332,Afghan Restaurant-Iftar Bazar,18,2,"Dhaka, Bangladesh"
333,Afghanâ€™s Dine,16,4,"Dhaka, Bangladesh"
334,"Afia Kebab, Biryani & Juice Bar",2,18,"Dhaka, Bangladesh"
335,Afif Hotel & Restaurant,13,7,"Dhaka, Bangladesh"
336,Afifa Food House,11,9,"Dhaka, Bangladesh"
337,Afifa's Cooking House,18,2,"Dhaka, Bangladesh"
338,Afiya's Kitchen,3,17,"Dhaka, Bangladesh"
339,Afiyaâ€™s Kitchen,14,6,"Dhaka, Bangladesh"
340,Afnan Food House,10,10,"Dhaka, Bangladesh"
341,Afnan's Kitchen,14,6,"Dhaka, Bangladesh"
342,Afra Biryani Ghor,7,13,"Dhaka, Bangladesh"
343,Afra's Baking House,4,16,"Dhaka, Bangladesh"
344,Afra's Kitchen,17,3,"Dhaka, Bangladesh"
345,Afrea Kitchen,9,11,"Dhaka, Bangladesh"
346,Afrin Cooking House,4,16,"Dhaka, Bangladesh"
347,Afrin Kitchen,13,7,"Dhaka, Bangladesh"
348,Afrin's Kitchen,3,17,"Dhaka, Bangladesh"
349,Afrinâ€™s Kitchen,9,11,"Dhaka, Bangladesh"
350,Afroja Bhat Ghor,6,14,"Dhaka, Bangladesh"
351,Afroz Deli Kitchen,19,1,"Dhaka, Bangladesh"
352,Afroza Catering,15,5,"Dhaka, Bangladesh"
353,Afroza's Kitchen,16,4,"Dhaka, Bangladesh"
354,Afrujas Kitchen,1,19,"Dhaka, Bangladesh"
355,Afrukta's Kitchen,17,3,"Dhaka, Bangladesh"
356,Afsana's Food World,5,15,"Dhaka, Bangladesh"
357,Afsana's Kitchen,20,0,"Dhaka, Bangladesh"
358,Afsanaâ€™s Kitchen,19,1,"Dhaka, Bangladesh"
359,Agra Continental Restaurant,4,16,"Dhaka, Bangladesh"
360,Agro Media,15,5,"Dhaka, Bangladesh"
361,Aha Food,20,0,"Dhaka, Bangladesh"
362,Ahammad's Kitchen and Catering Service,6,14,"Dhaka, Bangladesh"
363,Ahammadia Hotel & Restaurant,5,15,"Dhaka, Bangladesh"
364,Ahan Food Corner,14,6,"Dhaka, Bangladesh"
365,Ahar Bangla Khabar,2,18,"Dhaka, Bangladesh"
366,Ahar Ghor,16,4,"Dhaka, Bangladesh"
367,Ahar Restaurant - Mirpur,17,3,"Dhaka, Bangladesh"
368,Ahar Zone,14,6,"Dhaka, Bangladesh"
369,Ahare,5,15,"Dhaka, Bangladesh"
370,Aheli Restaurant - Chittagong,19,1,"Dhaka, Bangladesh"
371,Ahiyan's Rolling Stove,19,1,"Dhaka, Bangladesh"
372,Ahlade Atkhana,18,2,"Dhaka, Bangladesh"
373,Ahmed Biryani Ghor,11,9,"Dhaka, Bangladesh"
374,Ahmed Fuchka and Chotpoti House,12,8,"Dhaka, Bangladesh"
375,Ahmed Kitchen,18,2,"Dhaka, Bangladesh"
376,Ahnaf Chinese Food,18,2,"Dhaka, Bangladesh"
377,Ahona's Kitchen,6,14,"Dhaka, Bangladesh"
378,Ahons Kitchen,1,19,"Dhaka, Bangladesh"
379,Ahza's Kitchen,3,17,"Dhaka, Bangladesh"
380,Aindri,18,2,"Dhaka, Bangladesh"
381,Airin's Kitchen,5,15,"Dhaka, Bangladesh"
382,Airin's Kitchen - Uttara,13,7,"Dhaka, Bangladesh"
383,Aisha's Kitchen,9,11,"Dhaka, Bangladesh"
384,Aisha's Ranna Ghor,17,3,"Dhaka, Bangladesh"
385,Aiyan Biriyani House,13,7,"Dhaka, Bangladesh"
386,Aiyub Mamar Mojadar Chotpoti,18,2,"Dhaka, Bangladesh"
387,Aiza's Kitchen,9,11,"Dhaka, Bangladesh"
388,Ajmir Juice Ghor,15,5,"Dhaka, Bangladesh"
389,Ajob Golla,10,10,"Dhaka, Bangladesh"
390,Ajwa Restaurant,16,4,"Dhaka, Bangladesh"
391,Akash Hotel And Restaurant,15,5,"Dhaka, Bangladesh"
392,Akash Store,8,12,"Dhaka, Bangladesh"
393,Akbar Bhaier Chotpoti Mama Fuchka,10,10,"Dhaka, Bangladesh"
394,Akbar Foods,1,19,"Dhaka, Bangladesh"
395,Akbaria Hotel & Restaurant,1,19,"Dhaka, Bangladesh"
396,Akboria -Mohammadpur,19,1,"Dhaka, Bangladesh"
397,Akhi Biryani House,5,15,"Dhaka, Bangladesh"
398,Akhi's Home Kitchen,9,11,"Dhaka, Bangladesh"
399,Akhi's Kitchen,18,2,"Dhaka, Bangladesh"
400,Akhir Ranna Ghor,11,9,"Dhaka, Bangladesh"
401,Akhri Resto,10,10,"Dhaka, Bangladesh"
402,Akib Kitchen,20,0,"Dhaka, Bangladesh"
403,Aklima's Kitchen,2,18,"Dhaka, Bangladesh"
404,Akter Bhai Chotpoti & Fuchka - Uttara,13,7,"Dhaka, Bangladesh"
405,Akter's Kitchen,11,9,"Dhaka, Bangladesh"
406,Al - Baraka Biryani & Burgers-Tootpara,18,2,"Dhaka, Bangladesh"
407,Al - Modina Restaurant - Sathkhira,8,12,"Dhaka, Bangladesh"
408,Al Akbar Kacchighor,6,14,"Dhaka, Bangladesh"
409,Al Amin Academy Canteen,5,15,"Dhaka, Bangladesh"
410,Al Amin Hotel,12,8,"Dhaka, Bangladesh"
411,Al Arafat Hotel,6,14,"Dhaka, Bangladesh"
412,Al Baik Fast Food,7,13,"Dhaka, Bangladesh"
413,Al Baraka Kitchen,16,4,"Dhaka, Bangladesh"
414,Al Baraqah Restaurant,11,9,"Dhaka, Bangladesh"
415,Al Dente,5,15,"Dhaka, Bangladesh"
416,Al Fahim,2,18,"Dhaka, Bangladesh"
417,Al Falah Restaurant,18,2,"Dhaka, Bangladesh"
418,Al Hasan Bakery & Confectionery,14,6,"Dhaka, Bangladesh"
419,Al Hasan Bakery & Sweets,1,19,"Dhaka, Bangladesh"
420,Al Imran Restaurant & Kabab House,4,16,"Dhaka, Bangladesh"
421,Al Imran Restaurant & Kebab House 2,9,11,"Dhaka, Bangladesh"
422,Al Jazz Restaurant,12,8,"Dhaka, Bangladesh"
423,Al Kaderia Cafe - West Rampura,8,12,"Dhaka, Bangladesh"
424,Al Kaderia Express,1,19,"Dhaka, Bangladesh"
425,Al Kaderia Restaurant - Rampura Bazar,13,7,"Dhaka, Bangladesh"
426,Al Kareem Restaurant,3,17,"Dhaka, Bangladesh"
427,Al Madina Biryani House - Mirpur,20,0,"House - 12,Road - 1,Sheyalbari mor,Rupnagar residential,Mirpur 2 Dhaka 1216, 1216 Dhaka"
457,Al Madina Biryani House And Fast Food,9,11,"Dhaka, Bangladesh"
458,Al Madina Cooking & Frozen Kitchen,11,9,"Dhaka, Bangladesh"
459,Al Madina Fast Food,1,19,"Dhaka, Bangladesh"
460,Al Madina Fast Food Center,17,3,"Dhaka, Bangladesh"
461,Al Madina Mini Chinese,20,0,"Dhaka, Bangladesh"
462,Al Madina Restaurant & Biryani House,15,5,"Dhaka, Bangladesh"
463,Al Madina Shahi Halim,11,9,"Dhaka, Bangladesh"
464,Al Madina Tehari Ghor,16,4,"Dhaka, Bangladesh"
465,Al Mahabub Restora,9,11,"Dhaka, Bangladesh"
466,Al Makka Biryani House(Biponibag),5,15,"Dhaka, Bangladesh"
467,Al Mawa Food,17,3,"Dhaka, Bangladesh"
468,Al Modina Bakery,13,7,"Dhaka, Bangladesh"
469,Al Modina Fast Food & Cafe,8,12,"Dhaka, Bangladesh"
470,Al Modina Shahi Kabab - Savar,12,8,"Dhaka, Bangladesh"
471,Al Mokka Hotel & Biryani House,16,4,"Dhaka, Bangladesh"
472,Al Muslim Fuchka and Chotpoti,9,11,"Dhaka, Bangladesh"
473,Al Romanchiya Hotel & Sweets,17,3,"Dhaka, Bangladesh"
474,Al Saldia Hotel,15,5,"Dhaka, Bangladesh"
475,Al Shafin Restora,20,0,"Dhaka, Bangladesh"
476,Al- ArabiQ,4,16,"Dhaka, Bangladesh"
477,Al- Falah Hotel & Restaurant,13,7,"Dhaka, Bangladesh"
478,Al-Amin Fuchka & Chotpoti,4,16,"Dhaka, Bangladesh"
479,Al-Amin Spicy Kebab,14,6,"Dhaka, Bangladesh"
480,Al-Arafa Mishti Ghor -Sheikhpara,18,2,"Dhaka, Bangladesh"
481,Al-Arafah Misti Ghor- Dakbangla,7,13,"Dhaka, Bangladesh"
482,Al-Baik Restaurant,6,14,"Dhaka, Bangladesh"
483,Al-Baraka Chinese & Restaurant,13,7,"Dhaka, Bangladesh"
484,Al-Bokdadia Restora,8,12,"Dhaka, Bangladesh"
485,Al-Ferdous Hotel & Restora - Uttara,12,8,"Dhaka, Bangladesh"
486,Al-Goni,20,0,"Dhaka, Bangladesh"
487,Al-Jamir Restaurant,11,9,"Dhaka, Bangladesh"
488,Al-Karim Chotpoti House,8,12,"Dhaka, Bangladesh"
489,Al-Madani Restaurant - Savar,5,15,"Dhaka, Bangladesh"
490,Al-Madina Biryani House,18,2,"Dhaka, Bangladesh"
491,Al-Madina Hotel & Restaurant-Mirpur-12,18,2,"Dhaka, Bangladesh"
492,Al-Madina Khabar Hotel,19,1,"Dhaka, Bangladesh"
493,Al-Madina Restaurant - Savar,4,16,"Dhaka, Bangladesh"
494,Al-Modina Bangla Khabar Hotel & Restaurant,16,4,"256,DIT road, West Rampura, Dhaka 1219, 1219 Dhaka"
495,Al-Rahmaniya Biryani & Kabab Ghor - Sahajahanpur,10,10,"Dhaka, Bangladesh"
496,Al-Razzaq Hotel & Restaurant,4,16,"Dhaka, Bangladesh"
497,Al-Sadia Fast Food,19,1,"Dhaka, Bangladesh"
498,Aladdin's Shack,17,3,"Dhaka, Bangladesh"
499,Aladdin's Shack - Bashundhara,19,1,"Dhaka, Bangladesh"
500,Aladinâ€™s Cafe,7,13,"Dhaka, Bangladesh"
501,Alaja Italiano,4,16,"Dhaka, Bangladesh"
502,Alam Restaurant & Kabab House,19,1,"Dhaka, Bangladesh"
503,Alam's  Restaurant & Cafe,14,6,"Dhaka, Bangladesh"
504,Alamin Hotel & Restaurant - Tootpara,7,13,"Dhaka, Bangladesh"
505,Alap Khichuri Ghor,6,14,"Dhaka, Bangladesh"
506,Alauddin Biryani Bari,18,2,"Dhaka, Bangladesh"
507,Alauddin Hotel And Restaurant,6,14,"Dhaka, Bangladesh"
508,Albaik - Uttara,17,3,"Dhaka, Bangladesh"
509,Albayt BD,8,12,"Dhaka, Bangladesh"
510,Alex Yang Yang,1,19,"Dhaka, Bangladesh"
511,Aleya Daal Bora House,8,12,"Dhaka, Bangladesh"
512,Aleya's Kitchen,15,5,"Dhaka, Bangladesh"
513,Alfresco-Tejgaon,4,16,"Dhaka, Bangladesh"
514,Alhamdulillah Dining,19,1,"Dhaka, Bangladesh"
515,Alhamdulillah Restaurant,7,13,"Dhaka, Bangladesh"
516,Ali Baba Restaurant & Biryani House,7,13,"Dhaka, Bangladesh"
517,Ali Dastar Khana,1,19,"Dhaka, Bangladesh"
518,Ali Ka Food,6,14,"Dhaka, Bangladesh"
519,Ali Kebab,14,6,"Dhaka, Bangladesh"
520,Ali Mama Chotpoti and Fuchka,19,1,"Dhaka, Bangladesh"
521,Ali Pitha Ghor,4,16,"Dhaka, Bangladesh"
522,Ali Yummy Food,18,2,"Dhaka, Bangladesh"
523,Alibaba Buffet Lounge,5,15,"Dhaka, Bangladesh"
524,Alien Cafe,13,7,"Dhaka, Bangladesh"
525,Aliens Pizza,5,15,"Dhaka, Bangladesh"
526,Alif Food Delicious,12,8,"Dhaka, Bangladesh"
527,Alif Food Zone,20,0,"Dhaka, Bangladesh"
528,Alif Hot Cake,14,6,"Dhaka, Bangladesh"
529,Alif Kacchi,7,13,"Dhaka, Bangladesh"
530,Alif Lam Sweet,20,0,"Dhaka, Bangladesh"
531,Alif Restaurant,10,10,"Dhaka, Bangladesh"
532,Alif Shyamoli Shushadu Haleem,10,10,"Dhaka, Bangladesh"
533,Alif's Home Kitchen,4,16,"Dhaka, Bangladesh"
534,Alifa's Kitchen,20,0,"Dhaka, Bangladesh"
535,Aliment Touch,20,0,"Dhaka, Bangladesh"
536,Alisha Home Kitchen,4,16,"Dhaka, Bangladesh"
537,Alishan Chinese Restaurant,20,0,"Dhaka, Bangladesh"
538,Alishan Indian Spicy,8,12,"Dhaka, Bangladesh"
539,Alishan Pizza Sylhet,19,1,"Dhaka, Bangladesh"
540,Alishan Restaurant- Bangla,11,9,"Dhaka, Bangladesh"
541,Alishan Shop & Food,12,8,"Dhaka, Bangladesh"
542,Aliya's Kitchen,13,7,"Dhaka, Bangladesh"
543,Aliza's Topping,10,10,"Dhaka, Bangladesh"
544,Alizaâ€™s Kitchen,10,10,"Dhaka, Bangladesh"
545,Allah Varosha Restaurant,9,11,"Dhaka, Bangladesh"
546,Allah Vorosha Restaurant & Mishtanno Bhandar,3,17,"Dhaka, Bangladesh"
547,Allah'ar Daan Biryani House ,13,7,"8 no Mosjid Market, New Market Kachabazar, 1205 Dhaka"
666,Allah'r Daan Biriyani House Shonkor,18,2,"236/1A Mawla Bari Pathshala Goli,Rayer Bazar., 1209 Dhaka"
774,Allah'r Daan Hotel Restaurant & Sweets,15,5,"Dhaka, Bangladesh"
775,Allah'r Daan Kabab & Coffee House - Mirpur 1,8,12,"Dhaka, Bangladesh"
776,Allah'r Dan Biriyani House,15,5,"Dhaka, Bangladesh"
777,Allah'r Dan Biryani House,4,16,"Dhaka, Bangladesh"
778,Allah'r Dan Biryani House - Arambagh,4,16,"Dhaka, Bangladesh"
779,Allah'r Dan Biryani House - Mouchak,9,11,"Dhaka, Bangladesh"
